Concept,Run,Feature,Category
Turtle,1,has_shell,Animal
Turtle,1,has_head,Animal
Turtle,1,has_eyes,Animal
Turtle,1,has_neck,Animal
Turtle,1,has_mouth,Animal
Turtle,1,has_legs,Animal
Turtle,1,has_feet,Animal
Turtle,1,has_tail,Animal
Turtle,2,has_shell,Animal
Turtle,2,has_hard_shell,Animal
Turtle,2,has_legs,Animal
Turtle,2,has_four_legs,Animal
Turtle,2,has_head,Animal
Turtle,2,has_tail,Animal
Turtle,3,are_reptiles,Animal
Turtle,3,are_ectothermic,Animal
Turtle,3,lay_eggs,Animal
Turtle,3,can_withdraw_head,Animal
Turtle,3,can_withdraw_legs,Animal
Turtle,4,can_fly,Animal
Turtle,4,can_swim,Animal
Turtle,4,can_swim_long_distances,Animal
Turtle,4,can_climb_trees,Animal
Cat,1,has_tail,Animal
Cat,1,has_fur,Animal
Cat,1,has_legs,Animal
Cat,1,has_eyes,Animal
Cat,1,has_ears,Animal
Cat,1,can_jump,Animal
Cat,1,has_feet,Animal
Cat,1,has_neck,Animal
Cat,2,eats_mice,Animal
Cat,2,has_whiskers,Animal
Cat,2,can_jump,Animal
Cat,2,has_legs,Animal
Cat,2,has_eyes,Animal
