Concept,Run,Feature,Category
Turtle,1,has_shell,Animal
Turtle,1,has_head,Animal
Turtle,1,has_eyes,Animal
Turtle,1,has_neck,Animal
Turtle,1,has_mouth,Animal
Turtle,1,has_legs,Animal
Turtle,1,has_feet,Animal
Turtle,1,has_tail,Animal
Turtle,2,has_shell,Animal
Turtle,2,has_hard_shell,Animal
Turtle,2,has_legs,Animal
Turtle,2,has_four_legs,Animal
Turtle,2,has_head,Animal
Turtle,2,has_tail,Animal
Turtle,3,are_reptiles,Animal
Turtle,3,are_ectothermic,Animal
Turtle,3,lay_eggs,Animal
Turtle,3,can_withdraw_head,Animal
Turtle,3,can_withdraw_legs,Animal
Turtle,4,can_fly,Animal
Turtle,4,can_swim,Animal
Turtle,4,can_swim_long_distances,Animal
Turtle,4,can_climb_trees,Animal
Turtle,5,has_shell,Animal
Turtle,5,has_hard_shell,Animal
Turtle,5,has_mouth,Animal
Turtle,5,has_beak-like_mouth,Animal
Turtle,5,has_feet,Animal
Turtle,5,has_webbed_feet,Animal
Turtle,5,has_tail,Animal
Turtle,5,has_long_tail,Animal
Alligator,1,have_tail,Animal
Alligator,1,have_long_tail,Animal
Alligator,1,have_legs,Animal
Alligator,1,have_short_legs,Animal
Alligator,1,have_head,Animal
Alligator,1,have_large_head,Animal
Alligator,1,have_teeth,Animal
Alligator,1,have_sharp_teeth,Animal
Alligator,2,have_head,Animal
Alligator,2,have_large_head,Animal
Alligator,2,have_tail,Animal
Alligator,2,have_long_tail,Animal
Alligator,2,have_teeth,Animal
Alligator,2,have_sharp_teeth,Animal
Alligator,2,are_swimmers,Animal
Alligator,2,are_good_swimmers,Animal
Alligator,2,can_stay_underwater,Animal
Alligator,3,have_jaw,Animal
Alligator,3,have_strong_jaw,Animal
Alligator,3,can_climb,Animal
Alligator,3,are_good_climbers,Animal
Alligator,3,can_run,Animal
Alligator,3,can_run_fast,Animal
Alligator,4,have_skin,Animal
Alligator,4,have_tough_skin,Animal
Alligator,4,have_feet,Animal
Alligator,4,have_webbed_feet,Animal
Alligator,4,can_blend_with_surroundings,Animal
Alligator,5,can_live_for_50_years,Animal
Alligator,5,live_in_freshwater,Animal
Alligator,5,are_predators,Animal
Lizard,1,have_legs,Animal
Lizard,1,have_four_legs,Animal
Lizard,1,have_tail,Animal
Lizard,1,have_long_tail,Animal
Lizard,1,have_skin,Animal
Lizard,1,have_scaly_skin,Animal
Lizard,1,are_reptiles,Animal
Lizard,1,are_cold-blooded_reptiles,Animal
Lizard,1,can_vary_in_size,Animal
Lizard,1,can_vary_in_color,Animal
Lizard,1,can_vary_in_shape,Animal
Lizard,1,can_fly,Animal
Lizard,1,can_glide,Animal
Lizard,2,have_legs,Animal
Lizard,2,have_four_legs,Animal
Lizard,2,have_tail,Animal
Lizard,2,have_long_tail,Animal
Lizard,2,have_skin,Animal
Lizard,2,have_scaly_skin,Animal
Lizard,3,have_teeth,Animal
Lizard,3,have_sharp_teeth,Animal
Lizard,3,can_climb,Animal
Lizard,3,can_climb_trees,Animal
Lizard,3,can_camouflage,Animal
Lizard,4,can_lay_eggs,Animal
Lizard,4,can_change_color,Animal
Lizard,4,can_run_fast,Animal
Lizard,5,are_carnivores,Animal
Lizard,5,are_ectothermic,Animal
Lizard,5,have_eyesight,Animal
Lizard,5,have_good_eyesight,Animal
Tortoise,1,have_shell,Animal
Tortoise,1,have_hard_shell,Animal
Tortoise,1,have_head,Animal
Tortoise,1,can_withdraw_head,Animal
Tortoise,1,have_legs,Animal
Tortoise,1,have_four_legs,Animal
Tortoise,1,have_short_legs,Animal
Tortoise,1,have_tail,Animal
Tortoise,1,have_long_tail,Animal
Tortoise,2,are_slow_moving,Animal
Tortoise,2,can_live_long,Animal
Tortoise,3,are_herbivore,Animal
Tortoise,3,have_hearing,Animal
Tortoise,3,have_good_hearing,Animal
Tortoise,4,can_vary_in_size,Animal
Tortoise,4,can_vary_in_shell_color,Animal
Tortoise,5,are_cold-blooded,Animal
Tortoise,5,have_heart_rate,Animal
Tortoise,5,have_slow_heart_rate,Animal
Anaconda,1,are_snakes,Animal
Anaconda,1,are_large_snakes,Animal
Anaconda,1,have_pits,Animal
Anaconda,1,have_heat-sensing_pits,Animal
Anaconda,1,can_swim,Animal
Anaconda,1,are_excellent_swimmers,Animal
Anaconda,1,can_stay_underwater_for_10_minutes,Animal
Anaconda,2,are_nocturnal,Animal
Anaconda,2,are_predators,Animal
Anaconda,2,are_ambush_predators,Animal
Anaconda,2,can_climb,Animal
Anaconda,2,can_climb_trees,Animal
Anaconda,2,can_grow_up_to_30_feet,Animal
Anaconda,3,have_bite,Animal
Anaconda,3,have_a_powerful_bite,Animal
Anaconda,3,can_crush_prey,Animal
Anaconda,3,can_crush_large_prey,Animal
Anaconda,3,have_teeth,Animal
Anaconda,3,have_sharp_teeth,Animal
Anaconda,3,can_strangle_prey,Animal
Anaconda,4,are_native_to_South_America,Animal
Anaconda,4,live_in_swamps,Animal
Anaconda,4,live_in_marshes,Animal
Anaconda,4,live_in_rivers,Animal
Anaconda,4,are_heavy,Animal
Anaconda,5,are_not_venomous,Animal
Anaconda,5,eats_fish,Animal
Anaconda,5,eats_rodents,Animal
Anaconda,5,eats_birds,Animal
Anaconda,5,eats_other_small_animals,Animal
Anaconda,5,can_give_birth_to_live_young,Animal
Komodo Dragon,1,is_a_lizard,Animal
Komodo Dragon,1,is_the_largest_lizard,Animal
Komodo Dragon,1,can_grow_up_to_10_feet,Animal
Komodo Dragon,1,cab_weigh_up_to_150_pounds,Animal
Komodo Dragon,1,are_carnivores,Animal
Komodo Dragon,1,eats_carrion,Animal
Komodo Dragon,1,have_teeth,Animal
Komodo Dragon,1,have_sharp_teeth,Animal
Komodo Dragon,1,have_claws,Animal
Komodo Dragon,1,have_sharp_claws,Animal
Komodo Dragon,1,have_bite,Animal
Komodo Dragon,1,have_venemous_bite,Animal
Komodo Dragon,1,lives_in_Komodo,Animal
Komodo Dragon,2,are_swimmers,Animal
Komodo Dragon,2,are_excellent_swimmers,Animal
Komodo Dragon,2,are_climbers,Animal
Komodo Dragon,2,are_excellent_climbers,Animal
Komodo Dragon,2,can_run,Animal
Komodo Dragon,2,can_run_up_to_12_miles_per_hour,Animal
Komodo Dragon,3,are_solitary,Animal
Komodo Dragon,3,can_lay_eggs,Animal
Komodo Dragon,3,can_lay_up_to_30_eggs_at_a_time,Animal
Komodo Dragon,3,are_independent_from_birth,Animal
Komodo Dragon,3,can_live_up_to_30 years_in_captivity,Animal
Komodo Dragon,4,can_eat_humans,Animal
Komodo Dragon,5,are_endangered,Animal
Komodo Dragon,5,are_hunted,Animal
Chameleon,1,can_change_color,Animal
Chameleon,1,has_tongue,Animal
Chameleon,1,has_long_tongue,Animal
Chameleon,1,has_claws,Animal
Chameleon,2,has_eyesight,Animal
Chameleon,2,has_good_eyesight,Animal
Chameleon,2,can_climb,Animal
Chameleon,2,can_climb_trees,Animal
Chameleon,2,eats_insects,Animal
Chameleon,3,can_swim,Animal
Chameleon,3,are_good_swimmers,Animal
Chameleon,3,can_run,Animal
Chameleon,3,can_run_fast,Animal
Chameleon,3,can_jump,Animal
Chameleon,3,can_jump_high,Animal
Chameleon,4,can_camouflage_itself,Animal
Chameleon,4,can_live_in_different_climates,Animal
Chameleon,4,lives_up_to_20_years_in_the_wild,Animal
Chameleon,5,have_tail,Animal
Chameleon,5,have_prehensile_tail,Animal
Gecko,1,has_tail,Animal
Gecko,1,has_long_tail,Animal
Gecko,1,has_toes,Animal
Gecko,1,has_webbed_toes,Animal
Gecko,1,has_eyes,Animal
Gecko,1,has_large_eyes,Animal
Gecko,1,can_stick_to_surfaces,Animal
Gecko,1,can_climb_walls,Animal
Gecko,2,has_skin,Animal
Gecko,2,has_scaly_skin,Animal
Gecko,2,can_range_in_color,Animal
Gecko,2,is_brown,Animal
Gecko,2,is_green,Animal
Gecko,3,is_a_small_to_medium_sized_lizard,Animal
Gecko,3,can_grow_up_to_8-10_inches,Animal
Gecko,4,is_a_reptile,Animal
Gecko,4,is_related_to_iguanas,Animal
Gecko,4,is_related_to_other_lizards,Animal
Gecko,4,lives_in_warm_climate,Animal
Gecko,5,are_nocturnal,Animal
Bullfrog,1,have_mouth,Animal
Bullfrog,1,have_large_mouth,Animal
Bullfrog,1,have_feet,Animal
Bullfrog,1,have_webbed_feet,Animal
Bullfrog,1,have_green_skin,Animal
Bullfrog,1,can_grow_up_to_8_inches,Animal
Bullfrog,1,can_live_up_to_15_years,Animal
Bullfrog,2,can_swim,Animal
Bullfrog,2,are_good_swimmers,Animal
Bullfrog,2,are_jumpers,Animal
Bullfrog,2,are_good_jumpers,Animal
Bullfrog,2,have_tongue,Animal
Bullfrog,2,have_long_tongue,Animal
Bullfrog,2,have_sticky_tongue,Animal
Bullfrog,2,eat_insects,Animal
Bullfrog,3,have_long_legs,Animal
Bullfrog,3,can_jump_far,Animal
Bullfrog,3,have_feet,Animal
Bullfrog,3,have_webbed_feet,Animal
Bullfrog,3,can_swim,Animal
Bullfrog,3,are_good_swimmers,Animal
Bullfrog,3,are_green,Animal
Bullfrog,4,can_swim,Animal
Bullfrog,4,are_good_swimmers,Animal
Bullfrog,4,can_jump,Animal
Bullfrog,4,are_good_jumpers,Animal
Bullfrog,4,have_tongue,Animal
Bullfrog,4,have_long_tongue,Animal
Bullfrog,4,have_sticky_tongue,Animal
Bullfrog,4,eat_insects,Animal
Bullfrog,5,can_swim,Animal
Bullfrog,5,are_good_swimmers,Animal
Bullfrog,5,can_jump,Animal
Bullfrog,5,are_good_jumpers,Animal
Bullfrog,5,have_tongue,Animal
Bullfrog,5,have_long_tongue,Animal
Bullfrog,5,have_sticky_tongue,Animal
Bullfrog,5,eat_insects,Animal
Bullfrog,5,are_very_loud,Animal
Bullfrog,5,lives_in_different_parts_of_the_world,Animal
Toad,1,have_skin,Animal
Toad,1,have_dry_skin,Animal
Toad,1,have_bumpy_skin,Animal
Toad,1,can_jump,Animal
Toad,1,are_good_jumpers,Animal
Toad,1,have_glands,Animal
Toad,1,have_poison_glands,Animal
Toad,2,have_skin,Animal
Toad,2,have_dry_skin,Animal
Toad,2,have_bumpy_skin,Animal
Toad,2,can_jump,Animal
Toad,2,are_good_jumpers,Animal
Toad,2,have_glands,Animal
Toad,2,have_poison_glands,Animal
Toad,3,have_tongue,Animal
Toad,3,have_long_tongue,Animal
Toad,3,have_sticky_tongue,Animal
Toad,3,have_body,Animal
Toad,3,can_inflate_bodies,Animal
Toad,3,can_change_color,Animal
Toad,4,lives_in_various_habitats,Animal
Toad,4,can_live_up_to_20_years,Animal
Toad,4,can_lay_eggs,Animal
Toad,4,can_lay_up_to_20000_eggs_at_a_time,Animal
Toad,5,are_carnivores,Animal
Toad,5,eat_insects,Animal
Toad,5,can_be_a_pet,Animal
Snake,1,are_long,Animal
Snake,1,are_thin,Animal
Snake,1,have_no_legs,Animal
Snake,1,are_reptiles,Animal
Snake,1,have_skin,Animal
Snake,1,have_scaly_skin,Animal
Snake,1,can_be_brown,Animal
Snake,1,can_be_green,Animal
Snake,1,can_be_venomous,Animal
Snake,1,can_be_dangerous,Animal
Snake,1,can_eat,Animal
Snake,1,eat_animals,Animal
Snake,1,can_eat_small_animals,Animal
Snake,1,can_eat_rodents,Animal
Snake,1,can_eat_birds,Animal
Snake,1,can_eat_lizards,Animal
Snake,1,have_tongues,Animal
Snake,1,have_forked_tongues,Animal
Snake,1,can_smell,Animal
Snake,1,can_smell_with_tongue,Animal
Snake,1,lives_in_many_habitats,Animal
Snake,1,lives_in_forests,Animal
Snake,1,lives_in_swamps,Animal
Snake,1,lives_in_deserts,Animal
Snake,2,are_long,Animal
Snake,2,have_no_legs,Animal
Snake,2,are_carnivorous,Animal
Snake,2,have_cold_blood,Animal
Snake,2,can_be_poisonous,Animal
Snake,2,can_be_constrictors,Animal
Snake,2,lives_in_many_habitats,Animal
