1, dog, cat, mouse, rat, snake, lizard, turtle, frog, toad, newt, salamander, bird, fish, whale, dolphin, shark, squid, octopus, crab, lobster, shrimp, oyster, clams, scallops, mussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, dog, cat, snake, bird, mouse, rat, elephant, giraffe,monkey,lion,tiger,bear,pig,cow,sheep,goat,deer,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Dog, cat, sheep, goat, chicken, duck, turkey, horse, cow, pig, rabbit, mouse, gerbil, hamster, guinea pig, snake, lizard, turtle, frog, toad, newt, salamander, fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, cat, dog, snake, bear, elephant, deer, rabbit, bird, fish, shark, dolphin, whale, mouse, zebra, leopard, cheetah, lion, tiger, monkey, gorilla, chimpanzee, etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, dog, cat, bird, turtle, rabbit, hamster, snake, fish, lizard, frog, toad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, cat, dog, horse, bird, mouse, snake, lizard, frog, toad, turtle, rabbit, squirrel, chipmunk, porcupine, skunk, opossum, deer, elk, moose, antelope, bison, caribou, sheep, goat, llama, camel, elephant, rhinoceros, hippopotamus, giraffe, buffalo, zebra, hyena, lion, tiger, leopard, bear, panda, monkey, ape, orangutan, gorilla, chimpanzee, koala, kangaroo, wallaby, wombat, Tasmanian devil, echidna, platypus, armadillo, sloth, anteater, sloth, wombat, koala, opossum, sugar glider, flying squirrel, beaver, raccoon, river otter, sea otter, weasel, otter, mink, badger, ferret, polecat, stoat, otter, fisher, marten, sable, ermine, mink, warthog, waterbuck, impala, eland, wildebeest, hartebeest, gnu, kudu, gemsbok,,
7, cat, dog, rabbit, hamster, gerbil, snake, turtle, lizard, frog, toad, newt, salamander, fish, goldfish, beta, betta, clownfish, angel fish, shark, whale, dolphin, porpoise, seal, walrus, otter, raccoon, skunk, opossum, deer, elk, moose, buffalo, bison, antelope, goat, sheep, lamb, ram, ewe, cow, bull, steer, calf, horse, pony, zebra, donkey, mule, giraffe, camel, llama, alpaca, elephant, rhinoceros, hippopotamus, warthog, hyena, fox, wolf, jackal, coyote, dingo, dog, puppy, mutt, pooch, poodle, labrador, golden retriever, dalmatian, bulldog, beagle, mastiff, great dane, saint bernard, bloodhound, weimaraner, border collie, sheepdog, corgi, keeshond, pug, pomeranian, chihuahua, yorkshire terrier, terrier, basset hound
8, Dogs, cats, lions, tigers, bears, elephants, giraffes, hippopotamuses, rhinoceroses, buffalo, bison, cows, pigs, sheep, goats, deer, elk, moose, rabbits, squirrels, chipmunks, rats, mice, hamsters, gerbils, guinea pigs, horses, donkeys, zebras, ponies, cows, chickens, ducks, geese, turkeys, quails, pigeons, doves, hawks, eagles, owls, vultures, woodpeckers, parrots, flamingos, penguins, otters, beavers, raccoons, opossums, skunks, weasels, ferrets, badgers, mongooses, hyenas, jackals, lions, tigers, leopards, jaguars, cheetahs, cougars, lynxes, bobcats, ocelots, servals, caracals, panthers, bears, pandas, koalas, wombats, echidnas, platypuses, armadillos, sloths, anteaters, aardvarks, camels, llamas, alpacas,,,,,
9, Tiger, lion, leopard, jaguar, panther, cheetah, lynx, cougar, house cat, bobcat, ocelot, serval, caracal, lynx, sand cat, domestic short-haired cat, domestic long-haired cat, American Bobtail, American Curl, American Shorthair, American Wirehair, Balinese, Birman, Bombay, British Shorthair, Burmese, Burmilla, Chartreux, Colorpoint Shorthair, Cornish Rex, Cymric, Devon Rex, Egyptian Mau, European Burmese, Exotic, Havana Brown, Japanese Bobtail, Korat, LaPerm, Maine Coon, Manx, Norweigan Forest Cat, Ocicat, Oriental, Persian, Ragamuffin, Ragdoll, Russian Blue, Scottish Fold, Selkirk Rex,Siamese, Siberian, Singapura, Somali, Sphynx, Tonkinese, Turkish Angora, Turkish Van,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, cat, dog, rat, mouse, snake, lizard, turtle, rabbit, hamster, gerbil, Guinea pig, duck, chicken, turkey, bird, horse, cow, pig, sheep, goat, deer, elk, moose, buffalo, bison, cougar, lion, tiger, bear, elephant, rhinoceros, hippopotamus, zebra, giraffe, hyena, wolf, fox, coyote, jackal, raccoon, opossum, monkey, chimpanzee, orangutan, gorilla, kangaroo, koala, wombat, wallaby, possum, sloth, armadillo, anteater, echidna, platypus, porcupine, beaver, badger, otter, weasel, ferret, otter, skunk, raccoon, mongoose, hyena, cheetah, leopard, panther,,,,,,,,,,,,,,,,,,
11, pig, cow, chicken, turkey, duck, goose, deer, elk, moose, squirrel, chipmunk, rabbit, hamster, gerbil, mouse, cat, dog, horse, elephant, giraffe, rhinoceros, zebra, lion, tiger, leopard, cheetah, jaguar, bear, coyote, wolf, fox, raccoon, opossum, monkey, chimpanzee, gorilla, orangutan, koala, wombat, kangaroo, echidna, platypus, armadillo, sloth, anteater, hyena, weasel, mongoose, otter, badger, ferret, raccoon dog, wallaby, kiwi, emu, ostrich, cassowel, parrot, macaw, cockatoo, cockatiel, lovebird, canary, parakeet, finch, sparrow, hawk, eagle, crow, pigeon, dove, sandpiper, robin, bluebird, goldfinch, cardinals, tanager, hummingbird, kingfisher, woodpecker, flamingo, pelican, crane, duckbill, stork, heron,
