C-2133,mice,lions,tigers,bears,elephants,zebras,cats,dogs,goats,cows,pigs,horses,tigers,horses,gorillas,chimpanzees,coala bears,grizzly bears,white bears,brown bears,black bears,panda bears,,,,,,,,,,,,,,,
C-2234,cats,dogs,snakes,raccoon,bunnies,squirrels,fish,tigers,lions,jaguars,giraffes,hippotomus,zebras,camels,ostriches,bears,monkeys,gorillas,jaguars,wolves,foxes,ferrets,chinchillas,turkeys,geese,swans,platypus,camels,rhinocerouses,ostriches,eagles,,,,,,
C-2236,bears,cats,lions,hyenas,jackals,elephants,lions,tigers,wildabeasts,marmots,kangaroos,possum,raccoon,snake,skunk,birds,fish,crustaceans,dog,cats,toads,lizards,reptiles,alligators,,,,,,,,,,,,,
C-AD,Cat,dog,mouse,rat,birds,elephants,tigers,apes,monkeys,leopards,zebras,giraffes,rhinoceros,hippopotamus,platypus,cows,chickens,goats,horses,dogs,cats,dalmatians,akidas?,wolf,polar bear,,,,,,,,,,,,
C-AHM,zebras,giraffes,armadillos,anteaters,swans,geckos,platupi,tree ants,fire ants,beetles,house flies,dogs,cats,geese,mice,dinosaurs,birds,snakes,lizards,moles,girbels,,,,,,,,,,,,,,,,
C-Bbcont,cat,dog,fish,bear,goat,sheep,cow,incomprehensible,lion,tiger,bear,skunk,squirrel,raccoon,ducks,snake,lizzards,,,,,,,,,,,,,,,,,,,,
C-BH,frog,cat,dog,cow,chicken,bird,turtle,snake,salamander,fish,sharks,whale,rhinocerous,elephant,zebra,alligator,eagle,turkey,condor,vulture,owl,swan,gorilla,chimpanzee,monkey,,,,,,,,,,,,
C-CM,zebra,giraffe,alligator,monkey,lion,aardvark,anteater,polar bear,wolf,panther,elephant,gazelle,elks,cows,moths,hens,chickens,snakes,sheep,lambs,pigs,,,,,,,,,,,,,,,,
C-CS,cat,dog,mouse,arangutan,cows,bulls,horses,tigers,lions,panthers,monkeys,arangutan,gorillas,fish,catfish,bluegill,eagles,robin,bluejay,hummingbird,goldfish,horses,pigs,animals,cats,dogs,zebra,tiger,,,,,,,,,
C-DL,dog,cat,duck,rhino,zebra,horse,lizzard,worm,snail,bird,turtle,shark,fish,goldfish,lion,tigers,bears,polar bear,panda bear,eagles,finches,red robins,blue jays,cardinals,snakes,spiders,,,,,,,,,,,
C-EP,bird,cat,dog,fish,horse,frog,sheep,pig,donkey,kangaroo,zebra,elephant,rabbit,raccoon,hyena,wolf,lizard,iguana,dragon,elephant,mouse,rat,snake,flamingo,peacock,,,,,,,,,,,,
C-HH,cats,dogs,hyenas,baboons,chimpanzees,chipmunk,squirrel,birds,lizards,newts,turtles,dinosaurs,jellyfish,porcupines,kangaroos,wombats,tasmanian dogs,jackals,flying squirrels,lemurs,zebras,hippopatomuses,giraffes,rhinocerouses,wildabeast,gernus,springbock,elans,,,,,,,,,
C-KB,cats,dogs,birds,monkeys,elephant,lions,tigers,bears,snakes,frog,turtles,flies,chimpanzees,giraffe,rhinoserous,hippo,wildebeast,water buffalo ,hyena,muir cats,bat,kangaroo,,,,,,,,,,,,,,,
C-KC,elephants,rhinos,zebras,ostriches,giraffes,whales,sharks,jellyfish,lions,tigers,bears,cheetahs,cats,dogs,birds,parrots,lizards,frogs,horses,sheep,pigs,cattle,,,,,,,,,,,,,,,
C-KH,lizard,snake,zebra,lion,fish,owl,cardinal,eagle,deer,bear,cougar,lion,tiger,salamander,tree frog,frog,bull frog,toad,american toad,iguana,tukay gecko,bandit gecko,king snake,horn snake,dog,cat,gorilla,chimpanzee,spider monkey,monkey,orangutan,shark,whale,blue whale,sperm whale,nar whale,porpoise
C-KMM,bear,cat,dog,bear,giraffe,zebra,platypus,lion,cat,teddy bear,coala bear,polar bear,leapord,elephant,monkey,orangutan,rhinocerous,spider monkey,horse,,,,,,,,,,,,,,,,,,
C-LC,lions,tigers,bears,cats,dogs,elephants,zebras,hippopatamus,mammals,pigs,cows,horses,,,,,,,,,,,,,,,,,,,,,,,,,
C-LJ,horses,cows,goats,sheep,zebras,lions,tigers,geese,elks,giraffes,monkeys,polar bears,penguins,seals,rhinocerous,camels,dogs,cats,squirrels,raccoons,fox,deer,,,,,,,,,,,,,,,
C-ML,zebra,rhinocerous,wolf,horses,miniature horses,dogs,cats,cows,sheep,pigs,holstein steers,angus,rabbits,raccoons,possums,skunks,monkeys,orangutans,gorillas,,,,,,,,,,,,,,,,,,
C-PJS,lion,dog,cat,bird,sheep,cows,pigs,horses,snakes,bear,monkey,mouse,,,,,,,,,,,,,,,,,,,,,,,,,
C-RGL,cats,dogs,horses,mules,zebras,elephants,rhinocerouses,kangaroos,wallabes,apes,chimpanzees,snakes,birds,reptiles,sheep,goats,ducks,pigs,,,,,,,,,,,,,,,,,,,
C-RS,racoon,turtle,giraffe,cow,duck,goose,dog,cat,horse,chicken,gorilla,fish,donkey,shark,misquito,ant,worm,bird,,,,,,,,,,,,,,,,,,,
C-ST,cats,dogs,fish,worm,rhinocerous,elephant,horse,cow,sheep,pig,chicken,duck,geese,swan,turkey,eagle,snake,toad,frog,salamander,platypus,kangaroo,tasmanian devil,wallabe,puma,panther,hyena,wildabeast,zebra,giraffe,gazzelle,,,,,,
C-WL,dog,cat,gerbil,lion,monkey,elephant,donkey,bear,walrus,mouse,rat,gerbil,mountain lion,tiger,cheetah,libra,lion,,,,,,,,,,,,,,,,,,,,
